rank,timestamp,batch_start,batch_end,runtime_minutes,runtime_seconds,file_size_gb,status,output_file
1,2026-07-01T04:38:27,180000000001,190000000000,125.731757,7543.905,2.871804,success,E:\PrimeNet\Repository\ranges\primes_180000000001_190000000000.npy
2,2026-07-01T02:21:56,130000000001,140000000000,51.159366,3069.562,2.907127,success,E:\PrimeNet\Repository\ranges\primes_130000000001_140000000000.npy
3,2026-07-01T01:20:29,90000000001,100000000000,46.227986,2773.679,2.947642,success,E:\PrimeNet\Repository\ranges\primes_90000000001_100000000000.npy
4,2026-07-01T08:00:23,660000000001,670000000000,43.122870,2587.372,2.736895,success,E:\PrimeNet\Repository\ranges\primes_660000000001_670000000000.npy
5,2026-07-01T05:58:31,390000000001,400000000000,12.186622,731.197,2.790204,success,E:\PrimeNet\Repository\ranges\primes_390000000001_400000000000.npy
6,2026-07-01T06:53:33,570000000001,580000000000,4.654855,279.291,2.751557,success,E:\PrimeNet\Repository\ranges\primes_570000000001_580000000000.npy
7,2026-07-01T08:35:55,760000000001,770000000000,4.248609,254.917,2.722882,success,E:\PrimeNet\Repository\ranges\primes_760000000001_770000000000.npy
8,2026-07-01T09:05:56,850000000001,860000000000,4.228072,253.684,2.711840,success,E:\PrimeNet\Repository\ranges\primes_850000000001_860000000000.npy
9,2026-07-01T08:40:09,770000000001,780000000000,4.223864,253.432,2.721586,success,E:\PrimeNet\Repository\ranges\primes_770000000001_780000000000.npy
10,2026-07-01T05:14:47,280000000001,290000000000,4.219460,253.168,2.824785,success,E:\PrimeNet\Repository\ranges\primes_280000000001_290000000000.npy
11,2026-07-01T04:58:52,240000000001,250000000000,4.146601,248.796,2.840982,success,E:\PrimeNet\Repository\ranges\primes_240000000001_250000000000.npy
12,2026-07-01T04:54:43,230000000001,240000000000,4.089860,245.392,2.845687,success,E:\PrimeNet\Repository\ranges\primes_230000000001_240000000000.npy
13,2026-07-01T05:02:55,250000000001,260000000000,4.051738,243.104,2.836769,success,E:\PrimeNet\Repository\ranges\primes_250000000001_260000000000.npy
14,2026-07-01T05:06:57,260000000001,270000000000,4.029682,241.781,2.832591,success,E:\PrimeNet\Repository\ranges\primes_260000000001_270000000000.npy
15,2026-07-01T08:04:23,670000000001,680000000000,3.999294,239.958,2.735401,success,E:\PrimeNet\Repository\ranges\primes_670000000001_680000000000.npy
16,2026-07-01T05:18:43,290000000001,300000000000,3.940637,236.438,2.821119,success,E:\PrimeNet\Repository\ranges\primes_290000000001_300000000000.npy
17,2026-07-01T08:08:19,680000000001,690000000000,3.935817,236.149,2.733826,success,E:\PrimeNet\Repository\ranges\primes_680000000001_690000000000.npy
18,2026-07-01T08:31:40,750000000001,760000000000,3.833915,230.035,2.724154,success,E:\PrimeNet\Repository\ranges\primes_750000000001_760000000000.npy
19,2026-07-01T01:30:46,120000000001,130000000000,3.830637,229.838,2.916000,success,E:\PrimeNet\Repository\ranges\primes_120000000001_130000000000.npy
20,2026-07-01T01:26:57,110000000001,120000000000,3.800801,228.048,2.925502,success,E:\PrimeNet\Repository\ranges\primes_110000000001_120000000000.npy
21,2026-07-01T08:11:59,690000000001,700000000000,3.665476,219.929,2.732447,success,E:\PrimeNet\Repository\ranges\primes_690000000001_700000000000.npy
22,2026-07-01T05:10:34,270000000001,280000000000,3.619976,217.199,2.828618,success,E:\PrimeNet\Repository\ranges\primes_270000000001_280000000000.npy
23,2026-07-01T09:47:58,990000000001,1000000000000,3.536403,212.184,2.696942,success,E:\PrimeNet\Repository\ranges\primes_990000000001_1000000000000.npy
24,2026-07-01T05:37:18,350000000001,360000000000,3.422159,205.330,2.801462,success,E:\PrimeNet\Repository\ranges\primes_350000000001_360000000000.npy
25,2026-07-01T09:01:43,840000000001,850000000000,3.378999,202.740,2.713003,success,E:\PrimeNet\Repository\ranges\primes_840000000001_850000000000.npy
