rank_by_selected_order,gap,count,probability,information_bits,linear_prediction_bits,residual_bits,abs_residual_bits,curvature
1,2,8169,0.10406767137597615,3.264406129892876,2.6855051818378493,0.5789009480550269,0.5789009480550269,0.09239341077938634
2,4,8143,0.1037364485266953,3.2690052106713083,2.9317528176066863,0.33725239306462207,0.33725239306462207,0.03206879356049847
3,6,13549,0.17260532249640115,2.534451142417017,3.178000453375523,-0.6435493109585058,0.6435493109585058,0.10129120825577338
4,8,5569,0.07094538644788972,3.8171473203608164,3.42424808914436,0.39289923121645653,0.39289923121645653,0.06182353240552175
5,10,7079,0.09018179038689376,3.471020037565396,3.6704957249131964,-0.19947568734780052,0.19947568734780052,0.011862919585534353
6,12,8005,0.10197841955743532,3.293664210254209,3.916743360682033,-0.6230791504278241,0.6230791504278241,0.11868720745428307
7,14,4233,0.05392562773099609,4.212885124339408,4.16299099645087,0.04989412788853809,0.04989412788853809,0.049337711578542394
8,16,2881,0.036702039568391145,4.767995952497958,4.409238632219707,0.3587573202782508,0.3587573202782508,0.07538919812067253
9,18,4909,0.06253742181229856,3.99913644629178,4.655486267988543,-0.6563498216967631,0.6563498216967631,0.08632450537670937
10,20,2401,0.030587156197052115,5.030930209427412,4.90173390375738,0.12919630567003182,0.12919630567003182,0.02332254253806295
11,22,2172,0.02766984725530912,5.175541509853467,5.147981539526217,0.027559970327249772,0.027559970327249772,0.01808436441068821
12,24,2682,0.03416691083735684,4.8712563757533545,5.394229175295054,-0.5229727995416997,0.5229727995416997,0.07442882653558554
13,26,1175,0.014968724919423672,6.061904856205466,5.640476811063891,0.4214280451415746,0.4214280451415746,0.08875447604603656
14,28,1234,0.015720346000484095,5.99122321850841,5.886724446832727,0.10449877167568289,0.10449877167568289,0.0027387917607925656
15,30,1914,0.02438309744321439,5.3579747831718025,6.132972082601564,-0.7749972994297618,0.7749972994297618,0.13742085879657728
16,32,550,0.007006637196325974,7.157062089245806,6.3792197183704005,0.7778423708754056,0.7778423708754056,0.07841742262871204
17,34,557,0.007095812578824669,7.138816380317796,6.6254673541392375,0.5133490261785587,0.5133490261785587,0.1291518567411663
18,36,767,0.009771074053785495,6.6772671301548945,6.8717149899080745,-0.19444785975318002,0.19444785975318002,0.02042958262626169
19,40,424,0.0054014803113494785,7.532429443094629,7.364210261445748,0.1682191816488814,0.1682191816488814,0.024832703596600697
20,42,476,0.006063926009911207,7.365532134349885,7.610457897214585,-0.2449257628646997,0.2449257628646997,0.049026870585221434
