rank,gap,count,probability,information_bits,event_entropy_bits,linear_prediction_bits,residual_bits,abs_residual_bits,I1_density_entropy_ratio,I2_gap_probability_product,I3_gap_information_product,I4_log_gap_information_ratio,I5_normalized_residual
1,2,8169,0.10406767137597615,3.264406129892876,0.48175875759573206,2.6855051818378493,0.5789009480550269,0.5789009480550269,0.1475792957206404,0.2081353427519523,6.528812259785752,3.264406129892876,0.1773372935291063
2,4,8143,0.1037364485266953,3.2690052106713083,0.4807291736377406,2.9317528176066863,0.33725239306462207,0.33725239306462207,0.14705671684720875,0.4149457941067812,13.076020842685233,1.6345026053356542,0.10316667344661877
3,6,13549,0.17260532249640115,2.534451142417017,0.6636300924487245,3.178000453375523,-0.6435493109585058,0.6435493109585058,0.2618437109881881,1.0356319349784069,15.206706854502102,0.980459539242814,-0.25392058272023954
4,8,5569,0.07094538644788972,3.8171473203608164,0.369441785318928,3.42424808914436,0.39289923121645653,0.39289923121645653,0.09678478568231065,0.5675630915831178,30.53717856288653,1.2723824401202721,0.10293006746706272
5,10,7079,0.09018179038689376,3.471020037565396,0.43707631878018305,3.6704957249131964,-0.19947568734780052,0.19947568734780052,0.1259215775333732,0.9018179038689377,34.71020037565396,1.0448811468579031,-0.0574688953647512
6,12,8005,0.10197841955743532,3.293664210254209,0.47523584552972753,3.916743360682033,-0.6230791504278241,0.6230791504278241,0.14428788582945687,1.223741034689224,39.52397052305051,0.9187443967940113,-0.18917506784328028
7,14,4233,0.05392562773099609,4.212885124339408,0.30284429459827045,4.16299099645087,0.04989412788853809,0.04989412788853809,0.07188524862655904,0.7549587882339452,58.98039174075171,1.1065123190728547,0.011843220599650607
8,16,2881,0.036702039568391145,4.767995952497958,0.22696123216676498,4.409238632219707,0.3587573202782508,0.3587573202782508,0.04760096997310993,0.5872326330942583,76.28793523996733,1.1919989881244895,0.07524279044119102
9,18,4909,0.06253742181229856,3.99913644629178,0.3374362523065412,4.655486267988543,-0.6563498216967631,0.6563498216967631,0.08437727915471119,1.1256735926213741,71.98445603325204,0.9590427753277435,-0.16412288765625063
10,20,2401,0.030587156197052115,5.030930209427412,0.19732792458768977,4.90173390375738,0.12919630567003182,0.12919630567003182,0.03922295010531429,0.6117431239410422,100.61860418854823,1.1640476423887676,0.0256804010971832
11,22,2172,0.02766984725530912,5.175541509853467,0.18256815056304215,5.147981539526217,0.027559970327249772,0.027559970327249772,0.03527517849397195,0.6087366396168006,113.86191321677627,1.1605832205663458,0.005325040920796337
12,24,2682,0.03416691083735684,4.8712563757533545,0.21487637224749348,5.394229175295054,-0.5229727995416997,0.5229727995416997,0.04411107847187826,0.8200058600965641,116.9101530180805,1.0624419229136919,-0.10735891507266858
13,26,1175,0.014968724919423672,6.061904856205466,0.11217185185730981,5.640476811063891,0.4214280451415746,0.4214280451415746,0.01850439004209732,0.38918684790501545,157.60952626134213,1.2896463351736802,0.06952072906755805
14,28,1234,0.015720346000484095,5.99122321850841,0.11668455953752364,5.886724446832727,0.10449877167568289,0.10449877167568289,0.01947591589928671,0.44016968801355466,167.7542501182355,1.2462618873881892,0.017441976014657516
15,30,1914,0.02438309744321439,5.3579747831718025,0.16538899950576771,6.132972082601564,-0.7749972994297618,0.7749972994297618,0.030867819689114156,0.7314929232964318,160.73924349515408,1.0919287232462422,-0.14464370042648475
16,32,550,0.007006637196325974,7.157062089245806,0.06021988209907442,6.3792197183704005,0.7778423708754056,0.7778423708754056,0.008414050534724401,0.22421239028243117,229.0259868558658,1.4314124178491612,0.10868179724809021
17,34,557,0.007095812578824669,7.138816380317796,0.060856390225771106,6.6254673541392375,0.5133490261785587,0.5133490261785587,0.008524717121672484,0.24125762768003872,242.71975693080506,1.4032173999256767,0.07190954337947351
18,36,767,0.009771074053785495,6.6772671301548945,0.07927165642155647,6.8717149899080745,-0.19444785975318002,0.19444785975318002,0.011871871362396367,0.3517586659362778,240.3816166855762,1.2915597669776762,-0.029120874747551
19,40,424,0.0054014803113494785,7.532429443094629,0.048457874168519335,7.364210261445748,0.1682191816488814,0.1682191816488814,0.006433233067047604,0.21605921245397913,301.2971777237852,1.4153572368500877,0.022332659458642084
20,42,476,0.006063926009911207,7.365532134349885,0.05338585927817854,7.610457897214585,-0.2449257628646997,0.2449257628646997,0.007248065489960776,0.2546848924162707,309.3523496426952,1.3659307412497037,-0.03325296236540253
